"","ParameterLabel","Phenotype","Subset","Iteration","LearningRate","BoostRounds","Metric","Value"
"92","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,2,0.0025,100,"Pearson",0.314889492284848
"93","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,3,0.0025,100,"Pearson",0.319844811832746
"94","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,4,0.0025,100,"Pearson",0.318304534077242
"95","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,5,0.0025,100,"Pearson",0.27513050084836
"96","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,6,0.0025,100,"Pearson",0.305267215803804
"97","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,7,0.0025,100,"Pearson",0.304664162355799
"98","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,8,0.0025,100,"Pearson",0.307837367846337
"99","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,9,0.0025,100,"Pearson",0.294490305600311
"100","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,10,0.0025,100,"Pearson",0.296380328288662
"101","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,1,0.0025,100,"R_squared",-20.2966692637197
"102","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,2,0.0025,100,"R_squared",-20.3076869738534
"103","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,3,0.0025,100,"R_squared",-20.2847759280406
"104","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,4,0.0025,100,"R_squared",-20.2903519430233
"105","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,5,0.0025,100,"R_squared",-20.3008881909448
"106","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,6,0.0025,100,"R_squared",-20.2734155471958
"107","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,7,0.0025,100,"R_squared",-20.2811718281073
"108","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,8,0.0025,100,"R_squared",-20.3164048494027
"109","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,9,0.0025,100,"R_squared",-20.2758731395652
"110","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,10,0.0025,100,"R_squared",-20.3056787976914
"111","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,1,0.0025,100,"R_squared",-19.0994690527928
"112","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,2,0.0025,100,"R_squared",-19.1263818898502
"113","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,3,0.0025,100,"R_squared",-19.0834891947286
"114","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,4,0.0025,100,"R_squared",-19.1273284338463
"115","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,5,0.0025,100,"R_squared",-19.1060395905373
"116","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,6,0.0025,100,"R_squared",-19.104122741603
"117","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,7,0.0025,100,"R_squared",-19.1124450097524
"118","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,8,0.0025,100,"R_squared",-19.1112450429692
