model_number,subset,iteration,eta,nround,correlation
16,2,3,0.121,2060,0.999642537606119
16,2,4,0.121,2060,0.99957591788415
16,2,5,0.121,2060,0.999629784687914
16,2,6,0.121,2060,0.999605230561816
16,2,7,0.121,2060,0.999607895350695
16,2,8,0.121,2060,0.999680034992485
16,2,9,0.121,2060,0.999598949273745
16,2,10,0.121,2060,0.999590383880921
16,3,1,0.121,2060,0.999683651491677
16,3,2,0.121,2060,0.999699449882887
16,3,3,0.121,2060,0.999661762154459
16,3,4,0.121,2060,0.999735614874813
16,3,5,0.121,2060,0.999705350486833
16,3,6,0.121,2060,0.999684412859929
16,3,7,0.121,2060,0.99967698951948
16,3,8,0.121,2060,0.99968041567661
16,3,9,0.121,2060,0.999728572218491
16,3,10,0.121,2060,0.999741134794634
16,4,1,0.121,2060,0.999637588712487
16,4,2,0.121,2060,0.999602565772938
16,4,3,0.121,2060,0.999650722314818
16,4,4,0.121,2060,0.999562403597693
16,4,5,0.121,2060,0.999611131165762
16,4,6,0.121,2060,0.999637588712487
16,4,7,0.121,2060,0.999654529156074
16,4,8,0.121,2060,0.999659668391768
16,4,9,0.121,2060,0.999620457926838
16,4,10,0.121,2060,0.999658335997329
16,5,1,0.121,2060,0.999762262763601
16,5,2,0.121,2060,0.999754268396965
16,5,3,0.121,2060,0.999750651897772
16,5,4,0.121,2060,0.999724575035173
16,5,5,0.121,2060,0.99975940763266
16,5,6,0.121,2060,0.999723813666922
16,5,7,0.121,2060,0.999746845056517
16,5,8,0.121,2060,0.999706682881273
16,5,9,0.121,2060,0.999704589118582
16,5,10,0.121,2060,0.999735995558939
17,1,1,0.1605,2060,0.999920056333637
17,1,2,0.1605,2060,0.999883700999648
17,1,3,0.1605,2060,0.999910348888436
17,1,4,0.1605,2060,0.999897215286104
17,1,5,0.1605,2060,0.999906732389243
17,1,6,0.1605,2060,0.999903306232113
17,1,7,0.1605,2060,0.999919865991574
17,1,8,0.1605,2060,0.999928050700273
17,1,9,0.1605,2060,0.999903877258301
17,1,10,0.1605,2060,0.999903686916239
17,2,1,0.1605,2060,0.999892837418661
17,2,2,0.1605,2060,0.999893789128975
17,2,3,0.1605,2060,0.999895692549602
17,2,4,0.1605,2060,0.999888269209155
17,2,5,0.1605,2060,0.999900451101172
17,2,6,0.1605,2060,0.999912823335252
17,2,7,0.1605,2060,0.99991891428126
17,2,8,0.1605,2060,0.999879323132204
17,2,9,0.1605,2060,0.999911681282875
17,2,10,0.1605,2060,0.999908064783682
17,3,1,0.1605,2060,0.999930144462964
17,3,2,0.1605,2060,0.999931096173278
17,3,3,0.1605,2060,0.999927098989959
17,3,4,0.1605,2060,0.999920627359825
17,3,5,0.1605,2060,0.999913204019377
17,3,6,0.1605,2060,0.999910539230498
17,3,7,0.1605,2060,0.999913204019377
17,3,8,0.1605,2060,0.999918343255072
17,3,9,0.1605,2060,0.999930334805027
17,3,10,0.1605,2060,0.999921008043951
17,4,1,0.1605,2060,0.999904257942427
17,4,2,0.1605,2060,0.999921388728076
17,4,3,0.1605,2060,0.999906732389243
17,4,4,0.1605,2060,0.999912252309063
17,4,5,0.1605,2060,0.99990654204718
17,4,6,0.1605,2060,0.999897024944042
17,4,7,0.1605,2060,0.999917581886821
17,4,8,0.1605,2060,0.999912823335252
17,4,9,0.1605,2060,0.999900070417046
17,4,10,0.1605,2060,0.999908255125745
17,5,1,0.1605,2060,0.99992919275265
17,5,2,0.1605,2060,0.999921579070139
17,5,3,0.1605,2060,0.999942136012918
17,5,4,0.1605,2060,0.999926337621708
17,5,5,0.1605,2060,0.999933570620094
17,5,6,0.1605,2060,0.999917581886821
17,5,7,0.1605,2060,0.999934522330407
17,5,8,0.1605,2060,0.999910729572561
17,5,9,0.1605,2060,0.999921388728076
17,5,10,0.1605,2060,0.999945942854174
18,1,1,0.2,2060,0.999979252715158
